Timestamp,Gesture_Label,Voltage
1773226332.6367216,Rest,-0.5156369295436889
1773226332.6377218,Rest,-0.5272539895959198
1773226332.6387217,Rest,-0.5298355584964156
1773226332.6397216,Rest,-0.514346145093441
1773226332.6407218,Rest,-0.48594888718798757
1773226332.6417217,Rest,-0.44851613813079894
1773226332.6427217,Rest,-0.40075711347162724
1773226332.6437218,Rest,-0.3491257354617119
1773226332.6447217,Rest,-0.29749435745179653
1773226332.6457217,Rest,-0.24973533279262483
1773226332.6467218,Rest,-0.21746572153642774
1773226332.6477218,Rest,-0.19810395478270948
1773226332.6487217,Rest,-0.1955223858822137
1773226332.6497216,Rest,-0.2045578770339489
1773226332.6507218,Rest,-0.2277919971384108
1773226332.6517217,Rest,-0.2600616083946079
1773226332.6527216,Rest,-0.30265749525278807
1773226332.6537218,Rest,-0.3491257354617119
1773226332.6547217,Rest,-0.3968847601208836
1773226332.6557217,Rest,-0.43948064697906375
1773226332.6567218,Rest,-0.4678779048845172
1773226332.6577218,Rest,-0.4833673182874918
1773226332.6587217,Rest,-0.48594888718798757
1773226332.6597216,Rest,-0.4743318271357566
1773226332.6607218,Rest,-0.4498069225810468
1773226332.6617217,Rest,-0.4175373113248497
1773226332.6554487,Rest,-0.37623220891691744
1773226332.6564486,Rest,-0.3310547531582415
1773226332.6574488,Rest,-0.2858772973995656
1773226332.6584487,Rest,-0.2445721949916333
1773226332.6594486,Rest,-0.2213380748871714
1773226332.6604488,Rest,-0.20972101483494043
1773226332.6614487,Rest,-0.21488415263593197
1773226332.6624486,Rest,-0.23295513493940234
1773226332.6634486,Rest,-0.26393396174535155
1773226332.6644487,Rest,-0.30523906415328383
1773226332.6654487,Rest,-0.3555796577129513
1773226332.6664486,Rest,-0.40850182017311454
1773226332.6674488,Rest,-0.4601331981830299
1773226332.6684487,Rest,-0.5040198694914579
1773226332.6694486,Rest,-0.5298355584964156
1773226332.6704488,Rest,-0.5401618340983987
1773226332.6714487,Rest,-0.5349986962974072
1773226332.6724486,Rest,-0.5182184984441847
1773226332.6734486,Rest,-0.47820418048650026
1773226332.6744487,Rest,-0.43818986252881587
1773226332.6754487,Rest,-0.3865584845189005
1773226332.6764486,Rest,-0.3310547531582415
1773226332.6774487,Rest,-0.2781325906980783
1773226332.6784487,Rest,-0.23166435048915446
1773226332.6794486,Rest,-0.20197630813345313
1773226332.6804488,Rest,-0.18648689473047853
1773226332.6814487,Rest,-0.18519611028023064
1773226332.6824486,Rest,-0.1968131703324616
1773226332.6834488,Rest,-0.2200472904369235
1773226332.6844487,Rest,-0.2536076861433685
1773226332.6854486,Rest,-0.2936220041010529
1773226332.6864486,Rest,-0.33750867540948093
1773226332.6874487,Rest,-0.3775229933671653
1773226332.6884487,Rest,-0.4097926046233624
1773226332.6894486,Rest,-0.425282018026337
